FIRST NAME,LAST NAME,TEAM,NUMBER,POSITION,HEIGHT(METER),WEIGHT(KG),COUNTRY,LAST ATTENDED,AGE(YEARS),BIRTHDATE,DRAFT,EXPERIENCE(YEARS)
Aaron,Holiday,Washington Wizards,4,Guard,1.83,84.0,USA,UCLA,25,1996-09-30,2018 R1 Pick 23,3
Jrue,Holiday,Milwaukee Bucks,21,Guard,1.91,93.0,USA,UCLA,31,1990-06-12,2009 R1 Pick 17,12
Justin,Holiday,Indiana Pacers,8,Forward-Guard,1.98,82.0,USA,Washington,32,1989-04-05,Undrafted,8
Richaun,Holmes,Sacramento Kings,22,Forward,2.08,107.0,USA,Bowling Green,28,1993-10-15,2015 R2 Pick 37,6
Rodney,Hood,Milwaukee Bucks,5,Guard-Forward,2.03,94.0,USA,Duke,29,1992-10-20,2014 R1 Pick 23,7
Al,Horford,Boston Celtics,42,Center-Forward,2.06,109.0,Dominican Republic,Florida,35,1986-06-03,2007 R1 Pick 3,14
Talen,Horton-Tucker,Los Angeles Lakers,5,Guard,1.93,106.0,USA,Iowa State,21,2000-11-25,2019 R2 Pick 46,2
Danuel,House Jr.,Utah Jazz,4,Forward-Guard,1.98,100.0,USA,Texas A&M,28,1993-06-07,Undrafted,5
Dwight,Howard,Los Angeles Lakers,39,Center-Forward,2.08,120.0,USA,SW Atlanta Christian Academy (GA),36,1985-12-08,2004 R1 Pick 1,17
Markus,Howard,Denver Nuggets,00,Guard,1.78,79.0,USA,Marquette,22,1999-03-03,Undrafted,1
Kevin,Huerter,Atlanta Hawks,3,Guard-Forward,2.01,90.0,USA,Maryland,23,1998-08-27,2018 R1 Pick 19,3
Jay,Huff,Los Angeles Lakers,34,Forward,2.16,109.0,USA,Virginia,24,1997-08-25,Undrafted,0
Elijah,Hughes,Utah Jazz,33,Guard,1.96,98.0,USA,Syracuse,23,1998-03-10,2020 R2 Pick 39,1
De'Andre,Hunter,Atlanta Hawks,12,Forward-Guard,2.03,100.0,USA,Virginia,24,1997-12-02,2019 R1 Pick 4,2
Chandler,Hutchison,Washington Wizards,1,Forward-Guard,1.98,95.0,USA,Boise State,25,1996-04-26,2018 R1 Pick 22,4
Bones,Hyland,Denver Nuggets,3,Guard,1.88,77.0,USA,Virginia Commonwealth,21,2000-09-14,2021 R1 Pick 26,0
Serge,Ibaka,LA Clippers,9,Forward,2.08,107.0,Republic of the Congo,Ricoh Manresa,32,1989-09-18,2008 R1 Pick 24,12
Andre,Iguodala,Golden State Warriors,9,Guard-Forward,1.98,98.0,USA,Arizona,37,1984-01-28,2004 R1 Pick 9,17
Joe,Ingles,Utah Jazz,2,Forward-Guard,2.03,100.0,Australia,Maccabi Tel Aviv,34,1987-10-02,Undrafted,7
Brandon,Ingram,New Orleans Pelicans,14,Forward,2.03,86.0,USA,Duke,24,1997-09-02,2016 R1 Pick 2,5
Kyrie,Irving,Brooklyn Nets,11,Guard,1.88,88.0,Australia,Duke,29,1992-03-23,2011 R1 Pick 1,10
Jonathan,Isaac,Orlando Magic,1,Forward,2.08,104.0,USA,Florida State,24,1997-10-03,2017 R1 Pick 6,3
Frank,Jackson,Detroit Pistons,5,Guard,1.91,93.0,USA,Duke,23,1998-05-04,2017 R2 Pick 31,3
Isaiah,Jackson,Indiana Pacers,23,Forward,2.08,93.0,USA,Kentucky,19,2002-01-10,2021 R1 Pick 22,0
Josh,Jackson,Detroit Pistons,20,Guard-Forward,2.03,94.0,USA,Kansas,24,1997-02-10,2017 R1 Pick 4,4
Justin,Jackson,Phoenix Suns,44,Forward,2.03,100.0,USA,North Carolina,26,1995-03-28,2017 R1 Pick 15,4
Reggie,Jackson,LA Clippers,1,Guard,1.88,94.0,USA,Boston College,31,1990-04-16,2011 R1 Pick 24,10
Jaren,Jackson Jr.,Memphis Grizzlies,13,Forward-Center,2.11,110.0,USA,Michigan State,22,1999-09-15,2018 R1 Pick 4,3
LeBron,James,Los Angeles Lakers,6,Forward,2.06,113.0,USA,St. Vincent-St. Mary HS (OH),37,1984-12-30,2003 R1 Pick 1,18
DaQuan,Jeffries,Memphis Grizzlies,55,Guard-Forward,1.96,101.0,USA,Tulsa,24,1997-08-30,Undrafted,2
Ty,Jerome,Oklahoma City Thunder,16,Guard-Forward,1.96,88.0,USA,Virginia,24,1997-07-08,2019 R1 Pick 24,2
Isaiah,Joe,Philadelphia 76ers,7,Guard,1.93,75.0,USA,Arkansas,22,1999-07-02,2020 R2 Pick 49,1
Cameron,Johnson,Phoenix Suns,23,Forward,2.03,95.0,USA,North Carolina,25,1996-03-03,2019 R1 Pick 11,2
David,Johnson,Toronto Raptors,13,Guard,1.93,92.0,USA,Louisville,20,2001-02-26,2021 R2 Pick 47,0
Jalen,Johnson,Atlanta Hawks,1,Forward,2.03,99.0,USA,Duke,20,2001-12-18,2021 R1 Pick 20,0
James,Johnson,Brooklyn Nets,16,Forward,2.01,109.0,USA,Wake Forest,34,1987-02-20,2009 R1 Pick 16,12
Keldon,Johnson,San Antonio Spurs,3,Forward-Guard,1.98,100.0,USA,Kentucky,22,1999-10-11,2019 R1 Pick 29,2
Keon,Johnson,LA Clippers,45,Guard,1.93,84.0,USA,Tennessee,19,2002-03-10,2021 R1 Pick 21,0
Stanley,Johnson,Los Angeles Lakers,14,Forward-Guard,1.98,110.0,USA,Arizona,25,1996-05-29,2015 R1 Pick 8,6
Tyler,Johnson,San Antonio Spurs,10,Guard,1.91,84.0,USA,Fresno State,29,1992-05-07,Undrafted,7
Nikola,Jokic,Denver Nuggets,15,Center,2.11,129.0,Serbia,Mega Basket,26,1995-02-19,2014 R2 Pick 41,6
Damian,Jones,Sacramento Kings,30,Center,2.11,111.0,USA,Vanderbilt,26,1995-06-30,2016 R1 Pick 30,5
Herbert,Jones,New Orleans Pelicans,5,Forward,2.01,93.0,USA,Alabama,23,1998-10-06,2021 R2 Pick 35,0
Kai,Jones,Charlotte Hornets,23,Center-Forward,2.08,100.0,Bahamas,Texas-Austin,20,2001-01-19,2021 R1 Pick 19,0
Mason,Jones,Los Angeles Lakers,5,Guard,1.93,91.0,USA,Arkansas,23,1998-07-21,Undrafted,1
Tre,Jones,San Antonio Spurs,33,Guard,1.85,84.0,USA,Duke,22,2000-01-08,2020 R2 Pick 41,1
Tyus,Jones,Memphis Grizzlies,21,Guard,1.83,89.0,USA,Duke,25,1996-05-10,2015 R1 Pick 24,6
Derrick,Jones Jr.,Chicago Bulls,5,Forward,1.98,95.0,USA,UNLV,24,1997-02-15,Undrafted,5
DeAndre,Jordan,Los Angeles Lakers,10,Center,2.11,120.0,USA,Texas A&M,33,1988-07-21,2008 R2 Pick 35,13
Cory,Joseph,Detroit Pistons,18,Guard,1.91,91.0,Canada,Texas-Austin,30,1991-08-20,2011 R1 Pick 29,10
Frank,Kaminsky,Phoenix Suns,8,Forward-Center,2.13,109.0,USA,Wisconsin,28,1993-04-04,2015 R1 Pick 9,6
Luke,Kennard,LA Clippers,5,Guard,1.96,93.0,USA,Duke,25,1996-06-24,2017 R1 Pick 12,4
Louis,King,Sacramento Kings,23,Forward,2.01,93.0,USA,Oregon,22,1999-04-06,Undrafted,2
Corey,Kispert,Washington Wizards,24,Forward,1.98,102.0,USA,Gonzaga,22,1999-03-03,2021 R1 Pick 15,0
Maxi,Kleber,Dallas Mavericks,42,Forward,2.08,109.0,Germany,Bayern Munich,29,1992-01-29,Undrafted,4
Nathan,Knight,Minnesota Timberwolves,13,Forward-Center,2.08,115.0,USA,William & Mary,24,1997-09-20,Undrafted,1
Kevin,Knox II,New York Knicks,20,Forward,2.01,98.0,USA,Kentucky,22,1999-08-11,2018 R1 Pick 9,3
John,Konchar,Memphis Grizzlies,46,Guard,1.96,95.0,USA,Indiana-Purdue Fort Wayne,25,1996-03-22,Undrafted,2
Furkan,Korkmaz,Philadelphia 76ers,30,Guard-Forward,2.01,92.0,Turkey,Anadolu Efes,24,1997-07-24,2016 R1 Pick 26,4
Luke,Kornet,Milwaukee Bucks,40,Center-Forward,2.18,113.0,USA,Vanderbilt,26,1995-07-15,Undrafted,4
Vit,Krejci,Oklahoma City Thunder,27,Guard,2.03,88.0,Czech Republic,Zaragoza,21,2000-06-19,2020 R2 Pick 37,0
Arnoldas,Kulboka,Charlotte Hornets,98,Forward,2.08,95.0,Lithuania,Bilbao,24,1998-01-04,2018 R2 Pick 55,0
Jonathan,Kuminga,Golden State Warriors,00,Forward,2.01,102.0,DRC,NBA G League Ignite,19,2002-10-06,2021 R1 Pick 7,0
Kyle,Kuzma,Washington Wizards,33,Forward,2.06,100.0,USA,Utah,26,1995-07-24,2017 R1 Pick 27,4
Zach,LaVine,Chicago Bulls,8,Guard-Forward,1.96,91.0,USA,UCLA,26,1995-03-10,2014 R1 Pick 13,7
Anthony,Lamb,San Antonio Spurs,33,Forward,1.98,103.0,USA,Vermont,23,1998-01-20,Undrafted,1
Jeremy,Lamb,Indiana Pacers,26,Guard-Forward,1.96,82.0,USA,Connecticut,29,1992-05-30,2012 R1 Pick 12,9
Jock,Landale,San Antonio Spurs,34,Center,2.11,116.0,Australia,Australia,26,1995-10-25,Undrafted,0
Romeo,Langford,Boston Celtics,9,Guard-Forward,1.96,98.0,USA,Indiana,22,1999-10-25,2019 R1 Pick 14,2
Jake,Layman,Minnesota Timberwolves,10,Forward,2.03,95.0,USA,Maryland,27,1994-03-07,2016 R2 Pick 47,5
Caris,LeVert,Indiana Pacers,22,Guard,1.98,93.0,USA,Michigan,27,1994-08-25,2016 R1 Pick 20,5
Damion,Lee,Golden State Warriors,1,Guard-Forward,1.96,95.0,USA,Drexel,29,1992-10-21,Undrafted,4
Saben,Lee,Detroit Pistons,38,Guard,1.88,83.0,USA,Vanderbilt,22,1999-06-23,2020 R2 Pick 38,1
Alex,Len,Sacramento Kings,25,Center,2.13,113.0,Ukraine,Maryland,28,1993-06-16,2013 R1 Pick 5,8
Kawhi,Leonard,LA Clippers,2,Forward,2.01,102.0,USA,San Diego State,30,1991-06-29,2011 R1 Pick 15,10
Scottie,Lewis,Charlotte Hornets,16,Guard,1.96,84.0,USA,Florida,21,2000-03-12,2021 R2 Pick 56,0
Kira,Lewis Jr.,New Orleans Pelicans,13,Guard,1.85,77.0,USA,Alabama,20,2001-04-06,2020 R1 Pick 13,1
Damian,Lillard,Portland Trail Blazers,0,Guard,1.88,88.0,USA,Weber State,31,1990-07-15,2012 R1 Pick 6,9
Nassir,Little,Portland Trail Blazers,9,Forward-Guard,1.96,100.0,USA,North Carolina,21,2000-02-11,2019 R1 Pick 25,2
Isaiah,Livers,Detroit Pistons,12,Forward,1.98,105.0,USA,Michigan,23,1998-07-28,2021 R2 Pick 42,0
Kevon,Looney,Golden State Warriors,5,Forward,2.06,101.0,USA,UCLA,25,1996-02-06,2015 R1 Pick 30,6
Brook,Lopez,Milwaukee Bucks,11,Center,2.13,128.0,USA,Stanford,33,1988-04-01,2008 R1 Pick 10,13
Robin,Lopez,Orlando Magic,33,Center,2.13,127.0,USA,Stanford,33,1988-04-01,2008 R1 Pick 15,13
Didi,Louzada,New Orleans Pelicans,0,Guard,1.96,85.0,Brazil,Sydney Kings,22,1999-07-02,2019 R2 Pick 35,1
Kevin,Love,Cleveland Cavaliers,0,Forward-Center,2.03,114.0,USA,UCLA,33,1988-09-07,2008 R1 Pick 5,13
Kyle,Lowry,Miami Heat,7,Guard,1.83,89.0,USA,Villanova,35,1986-03-25,2006 R1 Pick 24,15
Timothe,Luwawu-Cabarrot,Atlanta Hawks,7,Guard-Forward,2.01,98.0,France,Mega Basket,26,1995-05-09,2016 R1 Pick 24,5
Trey,Lyles,Detroit Pistons,8,Forward,2.06,106.0,Canada,Kentucky,26,1995-11-05,2015 R1 Pick 12,6
Theo,Maledon,Oklahoma City Thunder,11,Guard,1.93,79.0,France,Asvel,20,2001-06-12,2020 R2 Pick 34,1
Sandro,Mamukelashvili,Milwaukee Bucks,54,Forward-Center,2.06,109.0,Georgia,Seton Hall,22,1999-05-23,2021 R2 Pick 54,0
Terance,Mann,LA Clippers,14,Guard-Forward,1.96,98.0,USA,Florida State,25,1996-10-18,2019 R2 Pick 48,2
Tre,Mann,Oklahoma City Thunder,23,Guard,1.91,81.0,USA,Florida,20,2001-02-03,2021 R1 Pick 18,0
Boban,Marjanovic,Dallas Mavericks,51,Center,2.21,132.0,Serbia,Crvena zvezda,33,1988-08-15,Undrafted,6
Lauri,Markkanen,Cleveland Cavaliers,24,Forward-Center,2.11,109.0,Finland,Arizona,24,1997-05-22,2017 R1 Pick 7,4
Naji,Marshall,New Orleans Pelicans,8,Forward,2.01,100.0,USA,Xavier,23,1998-01-24,Undrafted,1
Caleb,Martin,Miami Heat,16,Forward,1.96,93.0,USA,Nevada-Reno,26,1995-09-28,Undrafted,2
Cody,Martin,Charlotte Hornets,11,Forward,1.98,93.0,USA,Nevada-Reno,26,1995-09-28,2019 R2 Pick 36,2
Kelan,Martin,Indiana Pacers,21,Forward,1.96,104.0,USA,Butler,26,1995-08-03,Undrafted,3
Kenyon,Martin Jr.,Houston Rockets,6,Forward,1.96,98.0,USA,IMG Academy (FL),21,2001-01-06,2020 R2 Pick 52,1
Garrison,Mathews,Houston Rockets,25,Guard,1.96,98.0,USA,Lipscomb,25,1996-10-24,Undrafted,2
Wesley,Matthews,Milwaukee Bucks,23,Guard,1.93,100.0,USA,Marquette,35,1986-10-14,Undrafted,12
Tyrese,Maxey,Philadelphia 76ers,0,Guard,1.88,91.0,USA,Kentucky,21,2000-11-04,2020 R1 Pick 21,1
Skylar,Mays,Atlanta Hawks,4,Guard,1.93,93.0,USA,Louisiana State,24,1997-09-05,2020 R2 Pick 50,1
Miles,McBride,New York Knicks,2,Guard,1.85,88.0,USA,West Virginia,21,2000-09-08,2021 R2 Pick 36,0
Mac,McClung,Chicago Bulls,00,Guard,1.88,84.0,USA,Texas Tech,23,1999-01-06,Undrafted,0
CJ,McCollum,Portland Trail Blazers,3,Guard,1.91,86.0,USA,Lehigh,30,1991-09-19,2013 R1 Pick 10,8
T.J.,McConnell,Indiana Pacers,9,Guard,1.85,86.0,USA,Arizona,29,1992-03-25,2015 ,6
Jaden,McDaniels,Minnesota Timberwolves,3,Forward,2.06,84.0,USA,Washington,21,2000-09-29,2020 R1 Pick 28,1
Jalen,McDaniels,Charlotte Hornets,6,Forward-Center,2.06,93.0,USA,San Diego State,23,1998-01-31,2019 R2 Pick 52,2
Doug,McDermott,San Antonio Spurs,17,Forward,2.01,102.0,USA,Creighton,30,1992-01-03,2014 R1 Pick 11,7
JaVale,McGee,Phoenix Suns,00,Center-Forward,2.13,122.0,USA,Nevada-Reno,33,1988-01-19,2008 R1 Pick 18,13
Rodney,McGruder,Detroit Pistons,17,Guard,1.93,93.0,USA,Kansas State,30,1991-07-29,Undrafted,5
Alfonzo,McKinnie,Chicago Bulls,28,Forward,2.01,98.0,USA,Wisconsin-Green Bay,29,1992-09-17,Undrafted,4
Jordan,McLaughlin,Minnesota Timberwolves,6,Guard,1.8,84.0,USA,Southern California,25,1996-04-09,Undrafted,2
Ben,McLemore,Portland Trail Blazers,23,Guard,1.91,88.0,USA,Kansas,28,1993-02-11,2013 R1 Pick 7,8
De'Anthony,Melton,Memphis Grizzlies,0,Guard,1.88,91.0,USA,Southern California,23,1998-05-28,2018 R2 Pick 46,3
Chimezie,Metu,Sacramento Kings,7,Forward-Center,2.06,102.0,USA,Southern California,24,1997-03-22,2018 R2 Pick 49,3
Khris,Middleton,Milwaukee Bucks,22,Forward,2.01,101.0,USA,Texas A&M,30,1991-08-12,2012 R2 Pick 39,9
Patty,Mills,Brooklyn Nets,8,Guard,1.83,82.0,Australia,St.Mary's College of California,33,1988-08-11,2009 R2 Pick 55,12
Paul,Millsap,Brooklyn Nets,31,Forward,2.01,117.0,USA,Louisiana Tech,36,1985-02-10,2006 R2 Pick 47,15
Shake,Milton,Philadelphia 76ers,18,Guard-Forward,1.96,93.0,USA,Southern Methodist,25,1996-09-26,2018 R2 Pick 54,3
Davion,Mitchell,Sacramento Kings,15,Guard,1.83,92.0,USA,Baylor,23,1998-09-05,2021 R1 Pick 9,0
Donovan,Mitchell,Utah Jazz,45,Guard,1.85,98.0,USA,Louisville,25,1996-09-07,2017 R1 Pick 13,4
Evan,Mobley,Cleveland Cavaliers,4,Center,2.11,98.0,USA,Southern California,20,2001-06-18,2021 R1 Pick 3,0
Malik,Monk,Los Angeles Lakers,11,Guard,1.91,91.0,USA,Kentucky,23,1998-02-04,2017 R1 Pick 11,4
Greg,Monroe,Washington Wizards,55,Forward-Center,2.08,113.0,USA,Georgetown,31,1990-06-04,2010 R1 Pick 7,9
Moses,Moody,Golden State Warriors,4,Guard,1.96,96.0,USA,Arkansas,19,2002-05-31,2021 R1 Pick 14,0
Matt,Mooney,New York Knicks,31,Guard,1.88,90.0,USA,Texas Tech,24,1997-02-07,Undrafted,1
E'Twaun,Moore,Orlando Magic,55,Guard,1.91,87.0,USA,Purdue,32,1989-02-25,2011 R2 Pick 55,10
Ja,Morant,Memphis Grizzlies,12,Guard,1.91,79.0,USA,Murray State,22,1999-08-10,2019 R1 Pick 2,2
Jaylen,Morris,San Antonio Spurs,30,Guard,1.96,84.0,USA,Molloy,26,1995-09-19,Undrafted,2
Markieff,Morris,Miami Heat,8,Forward,2.06,111.0,USA,Kansas,32,1989-09-02,2011 R1 Pick 13,10
Monte,Morris,Denver Nuggets,11,Guard,1.88,83.0,USA,Iowa State,26,1995-06-27,2017 R2 Pick 51,4
Marcus,Morris Sr.,LA Clippers,8,Forward,2.03,99.0,USA,Kansas,32,1989-09-02,2011 R1 Pick 14,10
Mychal,Mulder,Golden State Warriors,15,Guard,1.91,83.0,Canada,Kentucky,27,1994-06-12,Undrafted,3
Trey,Murphy III,New Orleans Pelicans,25,Forward,2.03,93.0,USA,Virginia,21,2000-06-18,2021 R1 Pick 17,0
Dejounte,Murray,San Antonio Spurs,5,Guard,1.93,82.0,USA,Washington,25,1996-09-19,2016 R1 Pick 29,4
Jamal,Murray,Denver Nuggets,27,Guard,1.91,98.0,Canada,Kentucky,24,1997-02-23,2016 R1 Pick 7,5
Mike,Muscala,Oklahoma City Thunder,33,Forward-Center,2.08,109.0,USA,Bucknell,30,1991-07-01,2013 R2 Pick 44,8
Svi,Mykhailiuk,Toronto Raptors,14,Guard-Forward,2.01,93.0,Ukraine,Kansas,24,1997-06-10,2018 R2 Pick 47,3
Abdel,Nader,Phoenix Suns,11,Forward,1.96,102.0,Egypt,Iowa State,28,1993-09-25,2016 R2 Pick 58,4
Larry,Nance Jr.,Portland Trail Blazers,11,Forward-Center,2.01,111.0,USA,Wyoming,29,1993-01-01,2015 R1 Pick 27,6
RJ,Nembhard Jr.,Cleveland Cavaliers,5,Guard,1.93,91.0,USA,TCU,22,1999-03-22,Undrafted,0
Aaron,Nesmith,Boston Celtics,26,Guard-Forward,1.96,98.0,USA,Vanderbilt,22,1999-10-16,2020 R1 Pick 14,1
Raul,Neto,Washington Wizards,19,Guard,1.88,82.0,Brazil,Murcia,29,1992-05-19,2013 R2 Pick 47,6
Georges,Niang,Philadelphia 76ers,20,Forward,2.01,104.0,USA,Iowa State,28,1993-06-17,2016 R2 Pick 50,5
Daishen,Nix,Houston Rockets,15,Guard,1.93,103.0,USA,NBA G League Ignite,19,2002-02-13,Undrafted,0
Zeke,Nnaji,Denver Nuggets,22,Forward-Center,2.06,109.0,USA,Arizona,21,2001-01-09,2020 R1 Pick 22,1
Nerlens,Noel,New York Knicks,3,Center-Forward,2.11,100.0,USA,Kentucky,27,1994-04-10,2013 R1 Pick 6,7
Jaylen,Nowell,Minnesota Timberwolves,4,Guard,1.93,91.0,USA,Washington,22,1999-07-09,2019 R2 Pick 43,2
Frank,Ntilikina,Dallas Mavericks,21,Guard,1.93,91.0,France,Strasbourg IG,23,1998-07-28,2017 R1 Pick 8,4
Kendrick,Nunn,Los Angeles Lakers,12,Guard,1.88,86.0,USA,Oakland,26,1995-08-03,Undrafted,2
Jusuf,Nurkic,Portland Trail Blazers,27,Center,2.11,132.0,Bosnia and Herzegovina,Cedevita,27,1994-08-23,2014 R1 Pick 16,7
David,Nwaba,Houston Rockets,2,Guard-Forward,1.96,99.0,USA,Cal Poly,28,1993-01-14,Undrafted,5
Jordan,Nwora,Milwaukee Bucks,13,Forward,2.03,102.0,USA,Louisville,23,1998-09-09,2020 R2 Pick 45,1
Royce,O'Neale,Utah Jazz,23,Forward,1.96,103.0,USA,Baylor,28,1993-06-05,Undrafted,4
Semi,Ojeleye,Milwaukee Bucks,37,Forward,1.98,109.0,USA,Southern Methodist,27,1994-12-05,2017 R2 Pick 37,4
Chuma,Okeke,Orlando Magic,3,Forward,1.98,104.0,USA,Auburn,23,1998-08-18,2019 R1 Pick 16,1
Josh,Okogie,Minnesota Timberwolves,20,Guard,1.93,97.0,Nigeria,Georgia Tech,23,1998-09-01,2018 R1 Pick 20,3
Onyeka,Okongwu,Atlanta Hawks,17,Forward-Center,2.03,109.0,USA,Southern California,21,2000-12-11,2020 R1 Pick 6,1
Isaac,Okoro,Cleveland Cavaliers,35,Forward-Guard,1.96,102.0,USA,Auburn,20,2001-01-26,2020 R1 Pick 5,1
KZ,Okpala,Miami Heat,11,Forward-Guard,2.03,98.0,USA,Stanford,22,1999-04-28,2019 R2 Pick 32,2
Victor,Oladipo,Miami Heat,4,Guard,1.93,97.0,USA,Indiana,29,1992-05-04,2013 R1 Pick 2,8
Kelly,Olynyk,Detroit Pistons,13,Forward-Center,2.11,109.0,Canada,Gonzaga,30,1991-04-19,2013 R1 Pick 13,8
Cedi,Osman,Cleveland Cavaliers,16,Forward,2.01,104.0,Turkey,Anadolu Efes,26,1995-04-08,2015 R2 Pick 31,4
Kelly,Oubre Jr.,Charlotte Hornets,12,Forward-Guard,1.98,92.0,USA,Kansas,26,1995-12-09,2015 R1 Pick 15,6
Kevin,Pangos,Cleveland Cavaliers,6,Guard,1.85,81.0,Canada,Gonzaga,28,1993-01-26,Undrafted,0
Eric,Paschall,Utah Jazz,0,Forward,1.98,116.0,USA,Villanova,25,1996-11-04,2019 R2 Pick 41,2
Chris,Paul,Phoenix Suns,3,Guard,1.83,79.0,USA,Wake Forest,36,1985-05-06,2005 R1 Pick 4,16
Cameron,Payne,Phoenix Suns,15,Guard,1.85,83.0,USA,Murray State,27,1994-08-08,2015 R1 Pick 14,6
Elfrid,Payton,Phoenix Suns,2,Guard,1.91,88.0,USA,Louisana-Lafayette,27,1994-02-22,2014 R1 Pick 10,7
Gary,Payton II,Golden State Warriors,0,Guard,1.91,88.0,USA,Oregon State,29,1992-12-01,Undrafted,5
Norvel,Pelle,Utah Jazz,14,Center,2.08,105.0,USA,Iona,28,1993-02-03,Undrafted,2
Jamorko,Pickett,Detroit Pistons,24,Forward,2.06,93.0,USA,Georgetown,24,1997-12-24,Undrafted,0
Theo,Pinson,Dallas Mavericks,21,Guard-Forward,1.96,96.0,USA,North Carolina,26,1995-11-05,Undrafted,3
Mason,Plumlee,Charlotte Hornets,24,Forward-Center,2.11,115.0,USA,Duke,31,1990-03-05,2013 R1 Pick 22,8
Jakob,Poeltl,San Antonio Spurs,25,Center,2.16,111.0,Austria,Utah,26,1995-10-15,2016 R1 Pick 9,5
Aleksej,Pokusevski,Oklahoma City Thunder,17,Forward,2.13,86.0,Serbia,Olympiacos,20,2001-12-26,2020 R1 Pick 17,1
Yves,Pons,Memphis Grizzlies,5,Forward,1.96,93.0,France,Tennessee,22,1999-05-07,Undrafted,0
Jordan,Poole,Golden State Warriors,3,Guard,1.93,88.0,USA,Michigan,22,1999-06-19,2019 R1 Pick 28,2
Kevin,Porter Jr.,Houston Rockets,3,Guard-Forward,1.93,92.0,USA,Southern California,21,2000-05-04,2019 R1 Pick 30,2
Michael,Porter Jr.,Denver Nuggets,1,Forward,2.08,99.0,USA,Missouri,23,1998-06-29,2018 R1 Pick 14,2
Otto,Porter Jr.,Golden State Warriors,32,Forward,2.03,90.0,USA,Georgetown,28,1993-06-03,2013 R1 Pick 3,8
Bobby,Portis,Milwaukee Bucks,9,Forward,2.08,113.0,USA,Arkansas,26,1995-02-10,2015 R1 Pick 22,6
Kristaps,Porzingis,Dallas Mavericks,6,Forward-Center,2.21,109.0,Latvia,Cajasol Sevilla,26,1995-08-02,2015 R1 Pick 4,5
Dwight,Powell,Dallas Mavericks,7,Forward-Center,2.08,109.0,Canada,Stanford,30,1991-07-20,2014 R2 Pick 45,7
Myles,Powell,Philadelphia 76ers,13,Guard,1.88,88.0,USA,Seton Hall,24,1997-07-07,Undrafted,0
Norman,Powell,Portland Trail Blazers,24,Guard,1.91,98.0,USA,UCLA,28,1993-05-25,2015 R2 Pick 46,6
Jason,Preston,LA Clippers,17,Guard,1.91,82.0,USA,Ohio,22,1999-08-10,2021 R2 Pick 33,0
Joshua,Primo,San Antonio Spurs,11,Guard,1.93,86.0,Canada,Alabama,19,2002-12-24,2021 R1 Pick 12,0
Taurean,Prince,Minnesota Timberwolves,12,Forward,1.98,99.0,USA,Baylor,27,1994-03-22,2016 R1 Pick 12,5
Payton,Pritchard,Boston Celtics,11,Guard,1.85,88.0,USA,Oregon,23,1998-01-28,2020 R1 Pick 26,1
Trevelin,Queen,Houston Rockets,21,Guard,1.98,86.0,USA,New Mexico State,24,1997-02-25,Undrafted,0
Neemias,Queta,Sacramento Kings,88,Center,2.13,112.0,Portugal,Utah State,22,1999-07-13,2021 R2 Pick 39,0
Immanuel,Quickley,New York Knicks,5,Guard,1.91,86.0,USA,Kentucky,22,1999-06-17,2020 R1 Pick 25,1
Jahmi'us,Ramsey,Sacramento Kings,20,Guard,1.91,86.0,USA,Texas Tech,20,2001-06-09,2020 R2 Pick 43,1
Julius,Randle,New York Knicks,30,Forward-Center,2.03,113.0,USA,Kentucky,27,1994-11-29,2014 R1 Pick 7,7
Austin,Reaves,Los Angeles Lakers,15,Guard,1.96,89.0,USA,Oklahoma,23,1998-05-29,Undrafted,0
Cam,Reddish,Atlanta Hawks,22,Forward-Guard,2.03,98.0,USA,Duke,22,1999-09-01,2019 R1 Pick 10,2
Paul,Reed,Philadelphia 76ers,44,Forward,2.06,95.0,USA,DePaul,22,1999-06-14,2020 R2 Pick 58,1
Naz,Reid,Minnesota Timberwolves,11,Center-Forward,2.06,120.0,USA,Louisiana State,22,1999-08-26,Undrafted,2
Nick,Richards,Charlotte Hornets,14,Center,2.13,111.0,Jamaica,Kentucky,24,1997-11-29,2020 R2 Pick 42,1
Josh,Richardson,Boston Celtics,8,Guard,1.96,91.0,USA,Tennessee,28,1993-09-15,2015 R2 Pick 40,6
Austin,Rivers,Denver Nuggets,25,Guard,1.93,91.0,USA,Duke,29,1992-08-01,2012 R1 Pick 10,9
Duncan,Robinson,Miami Heat,55,Forward,2.01,98.0,USA,Michigan,27,1994-04-22,Undrafted,3
Mitchell,Robinson,New York Knicks,23,Center-Forward,2.13,109.0,USA,Western Kentucky,23,1998-04-01,2018 R2 Pick 36,3
Jeremiah,Robinson-Earl,Oklahoma City Thunder,50,Forward,2.03,110.0,USA,Villanova,21,2000-11-03,2021 R2 Pick 32,0
Isaiah,Roby,Oklahoma City Thunder,22,Forward,2.03,104.0,USA,Nebraska-Lincoln,23,1998-02-03,2019 R2 Pick 45,2
Rajon,Rondo,Cleveland Cavaliers,4,Guard,1.85,82.0,USA,Kentucky,35,1986-02-22,2006 R1 Pick 21,15
Derrick,Rose,New York Knicks,4,Guard,1.88,91.0,USA,Memphis,33,1988-10-04,2008 R1 Pick 1,12
Terrence,Ross,Orlando Magic,31,Guard-Forward,1.98,93.0,USA,Washington,30,1991-02-05,2012 R1 Pick 8,9
Terry,Rozier,Charlotte Hornets,3,Guard,1.85,86.0,USA,Louisville,27,1994-03-17,2015 R1 Pick 16,6
